feature,importance
cat__model_ID.4 Pro,4.9456706418083455e-05
cat__model_Taycan Base,4.7031948434600744e-05
cat__model_ARIYA PREMIERE,4.694520321023152e-05
cat__drivetrain_FWD,4.5944213671033204e-05
cat__model_Bolt EUV Premier,4.319666520359231e-05
cat__model_EQS 580 EQS 580,4.1951680067491144e-05
cat__model_Model S 60D,4.160281716610986e-05
cat__model_Model S 75,4.112513523776063e-05
cat__model_e-Golf SE,3.99229714370923e-05
cat__model_Focus Electric Base,3.6432696961882826e-05
cat__model_Mirai Base,3.626397938118775e-05
cat__model_EV6 GT,3.5715632207872654e-05
cat__model_Model X Long Range Dual Motor All-Wheel Drive,3.5212288056581376e-05
cat__model_Model 3 Standard Range Plus,3.413569949902561e-05
cat__model_i3 120Ah s w/Range Extender,3.356773931851338e-05
cat__transmission_Unknown,3.31376504611676e-05
cat__model_EQS 450+ Base,3.200819755367483e-05
cat__brand_Mitsubishi,3.029794617606004e-05
cat__model_Model S 100D,2.9801514953302037e-05
cat__model_IONIQ 5 Limited,2.7415322151137646e-05
cat__model_e-tron Premium,2.673516637738952e-05
cat__model_E-Transit Base,2.6191794022199164e-05
cat__model_Bolt EV 1LT,2.5481611955471705e-05
cat__model_Volt Base,2.487220274211681e-05
cat__model_Leaf S PLUS,2.4257879024372275e-05
cat__model_EQS 450+,2.1798348521310875e-05
cat__model_Spark EV 2LT,1.9584627648073662e-05
cat__model_Model S Dual Motor All-Wheel Drive,1.950213877931782e-05
cat__transmission_2-Speed A/T,1.827250174779317e-05
cat__model_Niro EV EX,1.8197817222760975e-05
cat__model_IONIQ 5 SEL,1.7851574765910392e-05
cat__model_Leaf SL PLUS 62 kWh,1.7151964040144147e-05
cat__model_EQS 450 4MATIC,1.675072263109857e-05
cat__model_i3 Base w/Range Extender,1.57876901950846e-05
cat__model_Leaf SL,1.5477338383725643e-05
cat__model_I-PACE HSE EV400 AWD Automatic,1.432562123118695e-05
cat__model_bZ4X Limited,1.3998114934910107e-05
cat__model_ID.4 Pro S,1.3497000330229763e-05
cat__model_Bolt EUV LT,1.3403779553907248e-05
cat__model_Model X Long Range Plus Dual Motor All-Wheel Drive,1.285835780578157e-05
cat__model_e-tron Prestige,1.2829942219603592e-05
cat__model_e-Golf SEL Premium,1.248897015077653e-05
cat__brand_Subaru,1.2472509790850456e-05
cat__model_Leaf S 40 kWh,1.2103243629591984e-05
cat__model_Kona EV SEL,1.1936269933562594e-05
cat__model_Mustang Mach-E PREMIUM,1.0404866662913338e-05
cat__transmission_Automatic CVT,9.628853559413513e-06
cat__model_e-tron Premium Plus,9.516456987726808e-06
cat__model_Spark EV 1LT,9.496104942297618e-06
cat__model_Q4 e-tron 40 Premium Plus,9.34098037679902e-06
cat__model_i3 94Ah s w/Range Extender,9.162554200888253e-06
cat__model_i3 120Ah,8.386093289238509e-06
cat__model_IONIQ EV Electric,8.06591693388751e-06
cat__model_i3 120Ah w/Range Extender,7.96161104513167e-06
cat__model_bZ4X XLE,7.679690453486344e-06
cat__model_IONIQ EV SE,7.097615512353025e-06
cat__model_i3 94 Ah,6.992908398432418e-06
cat__model_Model 3 Mid Range,6.862366915291612e-06
cat__model_e-tron Chronos,6.8393042139415794e-06
cat__drivetrain_RWD,6.83249996049837e-06
cat__model_ID.4 1st Edition,6.343520033107721e-06
cat__model_Model 3 Standard Range,6.337812419301317e-06
cat__model_Model S Signature Performance,6.290025742467325e-06
cat__model_EV6 Light,5.991804488683469e-06
cat__transmission_Automatic 1-Speed,5.840828666178363e-06
cat__model_e-tron Sportback S line Prestige,5.72872575371421e-06
cat__model_Model 3 Base,5.494936473674854e-06
cat__model_Model X 60D,5.146722503351546e-06
cat__transmission_SINGLE SPEED REDUCTION GEAR,5.024310607578862e-06
cat__model_Q4 e-tron 50 Premium Plus,4.775978378905345e-06
cat__model_i3 94 Ah w/Range Extender,4.754308169622398e-06
cat__model_i-MiEV ES,4.685191415963017e-06
cat__model_IONIQ EV Limited,4.0559377951486335e-06
cat__model_XC40 Recharge Pure Electric Twin Ultimate,3.7181050762435874e-06
cat__model_F-150 Lightning ELECTRIC/ LARIAT/ MAX TOW/ LEATHER/ 360 CAMERA/ B&,3.6751085391261176e-06
cat__model_Niro EV Wind,3.5805962101854986e-06
cat__model_Bolt EUV FWD Premier,3.473165967548918e-06
cat__model_Leaf SV 40 kWh,3.3257727530864987e-06
cat__model_Transit-350 Base,3.202983211403478e-06
cat__model_RAV4 EV Base,3.0742799264460634e-06
cat__model_Mustang Mach-E CALIFORNIA ROUTE 1,3.028248109330691e-06
cat__model_Model S 70,3.022596471329458e-06
cat__model_Kona EV SE,2.943052749651239e-06
cat__model_NEXO Blue,2.9016904454357553e-06
cat__model_Leaf SV PLUS 62 kWh,2.777714003136054e-06
cat__model_i3 Base,2.760028105242552e-06
cat__model_Q4 e-tron 50 Premium,2.6868090652227167e-06
cat__transmission_Single-Speed Automatic,2.432874303018038e-06
cat__model_Model S PERFORMANCE W/LUDICROUS,2.33596698391078e-06
cat__model_Soul EV +,2.07069509325061e-06
cat__model_MX-30 Premium Plus,2.0706858540043216e-06
cat__model_i3 120Ah s,2.034897911124889e-06
cat__model_B-Class B 250e,2.0133229633803574e-06
cat__model_Model S 60,1.993155843334518e-06
cat__model_Mirai Limited,1.991643355063281e-06
cat__model_C40 Recharge Pure Electric Twin Ultimate,1.921777993940121e-06
cat__brand_Mazda,1.897290387175304e-06
cat__model_Soul EV Base,1.796768614745955e-06
cat__model_XC40 Recharge Pure Electric Twin Plus,1.7109169287119657e-06
cat__model_Model Y Standard Range Rear-Wheel Drive,1.6039539832663777e-06
cat__transmission_SINGLE-SPEED TRANSMISSION,1.478946949800352e-06
cat__model_Model 3 Standard,1.4560410514066422e-06
cat__model_e-tron Sportback Premium Plus,1.4176773772658896e-06
cat__model_Bolt EV,1.3867726001151305e-06
cat__model_Transit-150 Base,1.3680872095743544e-06
cat__model_e-tron quattro Premium Plus,1.3626881292768607e-06
cat__model_Bolt EV 2LT,1.3363328045245982e-06
cat__model_Bolt EV FWD 1LT,1.3210753170776938e-06
cat__model_XC40 Recharge Pure Electric P8,1.3152225593221231e-06
cat__model_Model X 100D AWD,1.299566095805264e-06
